Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Performance Index
2.0,62,Yes,7.0,9.0,42.0
4.997325309261116,49,No,6.0,5.0,33.0
6.0,90,No,7.0,0.0,77.0
7.0,58,Yes,6.0,2.0,51.0
4.997325309261116,90,No,7.0,9.0,72.0
7.0,67,Yes,4.0,1.0,57.0
8.0,62,No,6.0,8.0,53.0
1.0,43,No,6.0,4.0,16.0
6.0,59,No,7.0,5.0,45.0
8.0,58,No,5.0,1.0,49.0
5.0,81,Yes,5.0,7.0,67.0
4.0,66,No,4.0,5.0,49.0
2.0,96,No,8.0,7.0,73.0
6.0,73,No,8.0,7.0,65.0
6.0,43,Yes,4.0,0.0,27.0
1.0,95,No,8.0,6.0,72.0
9.0,77,Yes,9.0,1.0,74.0
6.0,46,Yes,9.0,7.0,38.0
3.0,87,No,9.0,1.0,67.0
4.0,46,Yes,9.0,3.0,28.0
4.0,89,No,7.0,1.0,73.0
3.0,91,No,5.0,6.0,72.0
3.0,65,No,4.0,4.0,42.0
4.997325309261116,65,No,7.0,8.0,47.0
4.0,93,No,9.0,4.0,77.0
7.0,58,No,6.5290777158481434,7.0,49.0
4.0,48,No,5.0,1.0,30.0
9.0,59,Yes,8.0,2.0,54.0
1.0,81,Yes,7.0,5.0,56.0
8.0,84,No,5.0,6.0,75.0
7.0,89,No,4.0,9.0,78.0
2.0,55,Yes,6.0,7.0,32.0
8.0,93,No,7.0,2.0,89.0
1.0,56,Yes,4.0,6.0,29.0
4.997325309261116,61,Yes,4.0,7.0,57.0
9.0,52,No,5.0,9.0,48.0
2.0,51,No,4.0,5.0,27.0
7.0,49,Yes,7.0,3.0,38.0
4.997325309261116,40,Yes,9.0,5.0,18.0
7.0,71,No,7.0,8.0,66.0
9.0,69,No,4.0,2.0,65.0
4.997325309261116,47,Yes,6.5290777158481434,1.0,27.0
1.0,60,Yes,7.0,4.0,33.0
2.0,61,Yes,6.0,6.0,37.0
1.0,57,No,9.0,2.0,29.0
5.0,41,No,8.0,4.0,26.0
5.0,87,No,5.0,3.0,72.0
7.0,83,Yes,5.0,6.0,77.0
9.0,48,Yes,8.0,1.0,45.0
9.0,42,No,8.0,6.0,41.0
3.0,93,Yes,7.0,1.0,73.0
3.0,65,Yes,4.0,2.0,43.0
3.0,60,Yes,4.0,4.0,39.0
4.0,69,Yes,6.0,6.0,54.0
8.0,67,Yes,9.0,5.0,62.0
4.997325309261116,75,No,4.0,6.0,63.0
8.0,65,No,6.0,5.0,59.0
1.0,73,No,6.5290777158481434,0.0,46.0
8.0,47,No,5.0,4.0,42.0
4.0,49,No,5.0,0.0,30.0
1.0,87,Yes,9.0,6.0,63.0
8.0,94,Yes,7.0,3.0,89.0
4.0,82,Yes,8.0,4.0,62.0
6.0,89,No,8.0,0.0,77.0
8.0,93,Yes,9.0,7.0,88.0
4.0,53,Yes,6.0,3.0,35.0
3.0,79,Yes,9.0,2.0,60.0
9.0,94,No,8.0,0.0,92.0
3.0,54,Yes,6.0,3.0,38.0
9.0,56,Yes,8.0,2.0,56.0
4.997325309261116,92,No,7.0,7.0,70.0
2.0,57,No,5.0,8.0,35.0
2.0,71,Yes,5.0,4.0,47.0
6.0,77,No,6.0,8.0,66.0
3.0,62,Yes,9.0,0.0,43.0
9.0,85,No,8.0,6.0,81.0
4.0,62,Yes,4.0,6.0,43.0
4.997325309261116,74,Yes,7.0,5.0,46.0
4.0,78,No,8.0,3.0,61.0
1.0,54,No,4.0,8.0,27.0
5.0,92,No,7.0,2.0,77.0
4.0,63,No,7.0,0.0,43.0
8.0,67,Yes,6.5290777158481434,1.0,60.0
8.0,55,No,6.0,2.0,48.0
7.0,55,Yes,8.0,1.0,47.0
3.0,79,Yes,6.5290777158481434,5.0,60.0
1.0,78,Yes,8.0,6.0,53.0
1.0,45,No,7.0,4.0,19.0
3.0,41,Yes,6.5290777158481434,4.0,23.0
6.0,93,Yes,5.0,6.0,81.0
7.0,52,No,6.0,5.0,41.0
6.0,83,Yes,4.0,7.0,71.0
4.997325309261116,86,Yes,4.0,8.0,75.0
6.0,98,Yes,9.0,1.0,89.0
3.0,48,No,5.0,1.0,28.0
6.0,73,Yes,7.0,0.0,60.0
8.0,56,Yes,5.0,6.0,54.0
2.0,66,Yes,6.0,3.0,41.0
5.0,68,No,6.5290777158481434,8.0,52.0
1.0,76,No,8.0,5.0,53.0
1.0,82,No,4.0,6.0,52.0
5.0,61,Yes,6.0,6.0,47.0
3.0,90,Yes,7.0,7.0,71.0
4.0,63,Yes,5.0,3.0,42.0
3.0,46,Yes,4.0,2.0,21.0
1.0,73,Yes,4.0,2.0,48.0
1.0,87,No,8.0,9.0,64.0
5.0,51,Yes,5.0,7.0,38.0
6.0,62,Yes,8.0,2.0,49.0
3.0,54,No,8.0,7.0,35.0
9.0,72,No,7.0,1.0,73.0
5.0,96,Yes,4.0,4.0,81.0
8.0,52,No,9.0,4.0,47.0
1.0,62,No,5.0,6.0,36.0
5.0,77,No,7.0,4.0,63.0
3.0,71,Yes,9.0,8.0,52.0
4.997325309261116,84,No,7.0,2.0,58.0
4.0,89,Yes,7.0,8.0,77.0
4.997325309261116,74,No,6.0,0.0,58.0
7.0,40,Yes,6.0,2.0,33.0
1.0,86,Yes,7.0,3.0,67.0
3.0,97,Yes,6.0,5.0,76.0
2.0,84,No,5.0,9.0,62.0
4.997325309261116,44,No,4.0,7.0,37.0
4.997325309261116,96,No,6.5290777158481434,6.0,86.0
3.0,52,Yes,5.0,7.0,37.0
8.0,93,No,4.0,5.0,88.0
8.0,44,No,6.0,5.0,38.0
2.0,99,Yes,9.0,5.0,76.0
6.0,71,No,5.0,2.0,57.0
7.0,90,Yes,8.0,9.0,82.0
2.0,60,No,6.5290777158481434,3.0,35.0
4.997325309261116,63,Yes,4.0,5.0,41.0
4.997325309261116,99,Yes,4.0,6.0,75.0
8.0,57,No,8.0,2.0,51.0
1.0,60,Yes,8.0,3.0,34.0
9.0,93,No,7.0,5.0,92.0
6.0,49,No,6.0,0.0,39.0
7.0,63,No,5.0,6.0,56.0
7.0,79,No,5.0,0.0,69.0
3.0,86,Yes,5.0,9.0,69.0
2.0,60,Yes,6.0,8.0,40.0
9.0,64,Yes,7.0,9.0,63.0
8.0,91,No,5.0,8.0,86.0
4.997325309261116,99,No,4.0,8.0,89.0
4.997325309261116,96,Yes,4.0,3.0,94.0
4.0,98,Yes,4.0,1.0,79.0
4.0,62,No,8.0,6.0,44.0
1.0,61,No,8.0,3.0,33.0
8.0,43,No,6.0,4.0,36.0
3.0,73,Yes,5.0,0.0,50.0
7.0,95,No,8.0,9.0,94.0
2.0,45,Yes,4.0,5.0,22.0
2.0,67,No,8.0,6.0,44.0
7.0,70,Yes,4.0,2.0,60.0
6.0,74,No,5.0,9.0,64.0
3.0,78,Yes,6.5290777158481434,1.0,58.0
9.0,81,Yes,7.0,9.0,78.0
6.0,62,Yes,7.0,6.0,51.0
6.0,45,No,4.0,0.0,30.0
1.0,55,Yes,8.0,1.0,29.0
4.0,41,Yes,8.0,2.0,22.0
6.0,63,No,4.0,3.0,51.0
6.0,56,Yes,5.0,4.0,45.0
5.0,84,Yes,4.0,3.0,70.0
4.997325309261116,40,No,5.0,9.0,10.0
8.0,45,Yes,6.0,2.0,38.0
4.997325309261116,44,No,6.0,0.0,30.0
4.997325309261116,96,Yes,4.0,6.0,82.0
7.0,84,No,6.0,9.0,74.0
4.0,99,Yes,8.0,5.0,87.0
6.0,94,Yes,5.0,1.0,77.0
4.997325309261116,89,Yes,7.0,1.0,72.0
3.0,68,No,7.0,2.0,51.0
7.0,51,Yes,6.0,7.0,40.0
8.0,78,Yes,5.0,7.0,72.0
4.0,86,No,8.0,9.0,68.0
2.0,42,No,7.0,9.0,22.0
3.0,87,No,8.0,9.0,67.0
1.0,40,Yes,8.0,9.0,18.0
4.997325309261116,66,Yes,7.0,7.0,64.0
3.0,87,Yes,7.0,6.0,66.0
7.0,63,No,6.0,1.0,50.0
5.0,83,No,5.0,0.0,68.0
5.0,58,Yes,4.0,5.0,44.0
7.0,98,Yes,5.0,7.0,90.0
9.0,47,No,4.0,0.0,41.0
4.997325309261116,94,No,7.0,2.0,83.0
1.0,83,No,8.0,0.0,57.0
4.997325309261116,86,Yes,5.0,9.0,64.0
2.0,41,No,8.0,8.0,18.0
6.0,69,No,5.0,6.0,62.0
9.0,69,No,9.0,7.0,66.0
8.0,88,No,5.0,8.0,85.0
5.0,78,Yes,8.0,2.0,62.0
1.0,84,No,9.0,9.0,62.0
7.0,71,Yes,6.0,1.0,62.0
5.0,40,Yes,6.5290777158481434,5.0,26.0
6.0,77,No,6.0,4.0,66.0
7.0,52,No,6.0,3.0,43.0
3.0,50,Yes,5.0,5.0,30.0
3.0,49,No,7.0,5.0,25.0
4.997325309261116,87,Yes,9.0,2.0,77.0
6.0,98,No,5.0,1.0,88.0
4.997325309261116,65,Yes,4.0,8.0,62.0
4.997325309261116,95,Yes,5.0,7.0,82.0
1.0,94,Yes,9.0,3.0,73.0
4.997325309261116,59,No,8.0,5.0,44.0
5.0,56,Yes,5.0,2.0,40.0
5.0,56,Yes,4.0,7.0,39.0
4.997325309261116,43,No,5.0,2.0,34.0
4.0,44,No,9.0,1.0,27.0
1.0,99,Yes,4.0,6.0,73.0
5.0,62,Yes,7.0,2.0,46.0
7.0,85,No,9.0,8.0,78.0
6.0,91,Yes,5.0,2.0,80.0
5.0,49,No,4.0,7.0,33.0
4.0,85,No,9.0,1.0,68.0
2.0,67,No,7.0,8.0,45.0
4.0,72,Yes,8.0,0.0,56.0
3.0,82,No,6.0,2.0,58.0
1.0,65,Yes,4.0,1.0,37.0
8.0,94,Yes,8.0,6.0,88.0
5.0,89,No,7.0,4.0,75.0
4.0,87,No,8.0,7.0,70.0
8.0,68,No,5.0,1.0,62.0
7.0,66,No,6.0,7.0,57.0
2.0,57,Yes,4.0,6.0,32.0
1.0,79,Yes,9.0,4.0,53.0
4.0,99,No,7.0,1.0,82.0
8.0,49,Yes,6.0,9.0,41.0
2.0,97,No,7.0,6.0,75.0
3.0,81,Yes,8.0,9.0,63.0
1.0,44,Yes,7.0,3.0,17.0
1.0,49,Yes,7.0,3.0,24.0
3.0,89,No,8.0,7.0,69.0
5.0,60,Yes,8.0,5.0,47.0
3.0,63,Yes,6.0,8.0,43.0
1.0,77,Yes,4.0,1.0,48.0
1.0,42,Yes,8.0,4.0,17.0
4.997325309261116,79,No,6.0,5.0,75.0
2.0,70,Yes,7.0,7.0,54.0
4.997325309261116,80,No,7.0,3.0,59.0
2.0,76,No,9.0,6.0,56.0
3.0,41,Yes,5.0,6.0,20.0
7.0,41,Yes,8.0,3.0,34.0
1.0,78,No,6.0,0.0,54.0
8.0,88,No,9.0,2.0,83.0
2.0,81,No,6.0,1.0,59.0
3.0,83,Yes,4.0,2.0,63.0
9.0,73,Yes,9.0,4.0,72.0
7.0,81,No,6.0,0.0,70.0
4.0,59,No,8.0,4.0,41.0
5.0,72,No,6.0,1.0,54.0
2.0,43,Yes,5.0,3.0,21.0
4.997325309261116,84,Yes,7.0,5.0,83.0
4.0,83,No,7.0,8.0,64.0
4.997325309261116,50,Yes,9.0,9.0,51.0
5.0,81,No,6.0,5.0,66.0
9.0,86,Yes,6.0,9.0,83.0
4.0,44,No,6.0,1.0,26.0
5.0,64,Yes,6.0,7.0,49.0
9.0,88,Yes,5.0,4.0,85.0
8.0,99,Yes,8.0,8.0,95.0
3.0,76,Yes,5.0,9.0,56.0
1.0,73,Yes,5.0,8.0,50.0
3.0,48,Yes,5.0,3.0,23.0
4.997325309261116,45,Yes,7.0,0.0,26.0
2.0,57,No,5.0,8.0,30.0
4.997325309261116,53,No,6.0,8.0,28.0
7.0,58,No,5.0,7.0,48.0
8.0,53,Yes,6.0,4.0,46.0
4.997325309261116,79,Yes,9.0,4.0,73.0
4.997325309261116,56,Yes,8.0,9.0,45.0
1.0,99,No,7.0,5.0,76.0
7.0,74,No,8.0,0.0,71.0
7.0,68,No,9.0,8.0,60.0
9.0,81,No,8.0,4.0,77.0
3.0,56,No,7.0,6.0,36.0
9.0,98,No,6.0,7.0,96.0
1.0,82,Yes,9.0,4.0,62.0
1.0,47,No,9.0,2.0,22.0
4.997325309261116,40,Yes,6.0,5.0,21.0
9.0,84,No,6.0,6.0,79.0
6.0,92,No,7.0,3.0,82.0
3.0,75,Yes,5.0,8.0,55.0
1.0,46,Yes,4.0,3.0,22.0
4.0,85,Yes,5.0,9.0,70.0
9.0,44,No,5.0,1.0,37.0
4.997325309261116,63,No,8.0,8.0,42.0
9.0,67,Yes,4.0,3.0,64.0
4.997325309261116,82,No,6.5290777158481434,3.0,72.0
4.0,56,Yes,5.0,9.0,42.0
3.0,76,No,7.0,0.0,56.0
5.0,59,No,5.0,1.0,43.0
5.0,42,No,6.0,2.0,24.0
3.0,76,Yes,5.0,6.0,55.0
9.0,65,No,9.0,8.0,64.0
4.0,54,Yes,8.0,4.0,34.0
5.0,90,Yes,8.0,3.0,78.0
4.0,87,Yes,5.0,1.0,71.0
5.0,47,Yes,8.0,6.0,33.0
7.0,52,Yes,7.0,5.0,46.0
4.997325309261116,87,Yes,4.0,6.0,86.0
7.0,42,Yes,5.0,7.0,34.0
4.997325309261116,40,Yes,7.0,8.0,26.0
7.0,48,Yes,9.0,9.0,44.0
5.0,70,No,7.0,4.0,53.0
3.0,80,Yes,7.0,4.0,61.0
4.997325309261116,93,No,9.0,3.0,84.0
2.0,65,Yes,6.0,2.0,40.0
9.0,56,No,5.0,6.0,53.0
1.0,95,No,5.0,4.0,67.0
6.0,73,No,5.0,6.0,58.0
7.0,48,No,4.0,1.0,41.0
8.0,95,No,7.0,8.0,89.0
9.0,90,No,5.0,8.0,85.0
2.0,52,Yes,6.5290777158481434,8.0,33.0
2.0,44,Yes,6.0,4.0,20.0
4.997325309261116,80,Yes,6.5290777158481434,9.0,66.0
5.0,52,Yes,9.0,8.0,38.0
6.0,40,Yes,4.0,0.0,25.0
3.0,64,Yes,9.0,1.0,43.0
8.0,86,No,6.0,9.0,79.0
1.0,43,Yes,6.5290777158481434,4.0,16.0
6.0,75,No,9.0,4.0,67.0
4.0,91,No,9.0,5.0,80.0
1.0,49,No,8.0,7.0,26.0
7.0,67,No,7.0,0.0,57.0
9.0,96,No,5.0,9.0,91.0
4.997325309261116,45,No,6.0,8.0,29.0
4.0,66,Yes,9.0,3.0,48.0
6.0,95,No,6.5290777158481434,7.0,84.0
3.0,51,No,6.5290777158481434,4.0,33.0
6.0,91,Yes,6.5290777158481434,0.0,82.0
7.0,87,Yes,8.0,8.0,81.0
3.0,42,Yes,4.0,7.0,24.0
7.0,85,Yes,9.0,4.0,81.0
3.0,72,Yes,8.0,3.0,54.0
2.0,49,Yes,5.0,7.0,25.0
4.0,70,Yes,6.0,8.0,53.0
8.0,54,No,6.0,6.0,48.0
9.0,46,Yes,7.0,3.0,40.0
7.0,75,No,8.0,6.0,66.0
1.0,53,Yes,8.0,5.0,29.0
3.0,95,Yes,4.0,2.0,73.0
9.0,87,No,8.0,9.0,89.0
4.997325309261116,53,Yes,6.0,2.0,27.0
4.997325309261116,42,Yes,8.0,0.0,40.0
8.0,88,Yes,7.0,4.0,83.0
1.0,92,Yes,7.0,7.0,69.0
6.0,85,Yes,6.0,5.0,72.0
5.0,89,Yes,6.0,7.0,77.0
6.0,42,Yes,6.0,6.0,32.0
5.0,61,No,8.0,1.0,49.0
6.0,58,Yes,8.0,7.0,44.0
5.0,74,No,5.0,3.0,57.0
5.0,51,No,9.0,4.0,34.0
4.0,93,No,9.0,7.0,76.0
3.0,44,No,4.0,4.0,22.0
3.0,49,No,8.0,4.0,30.0
4.997325309261116,80,No,5.0,5.0,67.0
9.0,72,No,6.5290777158481434,6.0,71.0
2.0,52,Yes,7.0,8.0,29.0
9.0,74,Yes,8.0,6.0,74.0
1.0,90,Yes,5.0,5.0,67.0
1.0,71,No,7.0,9.0,46.0
5.0,50,Yes,4.0,3.0,34.0
6.0,87,No,7.0,9.0,76.0
6.0,77,No,4.0,1.0,64.0
3.0,63,Yes,9.0,8.0,46.0
7.0,74,No,9.0,9.0,68.0
9.0,58,No,6.0,4.0,58.0
8.0,45,Yes,6.0,4.0,41.0
6.0,79,No,7.0,2.0,64.0
8.0,93,Yes,6.0,2.0,84.0
5.0,84,No,8.0,0.0,70.0
8.0,83,No,7.0,4.0,77.0
4.0,81,Yes,5.0,2.0,60.0
8.0,74,Yes,8.0,1.0,65.0
2.0,43,Yes,7.0,8.0,21.0
5.0,72,No,9.0,9.0,60.0
9.0,52,No,4.0,5.0,48.0
4.0,95,Yes,6.0,2.0,77.0
6.0,75,Yes,6.0,6.0,63.0
1.0,93,Yes,6.0,8.0,68.0
9.0,82,No,7.0,8.0,81.0
1.0,58,No,8.0,0.0,29.0
5.0,82,Yes,4.0,1.0,66.0
4.0,51,Yes,6.0,7.0,36.0
4.997325309261116,50,Yes,8.0,0.0,29.0
6.0,45,No,5.0,2.0,32.0
2.0,51,Yes,9.0,6.0,31.0
3.0,66,Yes,5.0,7.0,45.0
5.0,80,Yes,4.0,4.0,65.0
9.0,64,No,6.0,1.0,57.0
4.997325309261116,81,No,5.0,2.0,58.0
8.0,42,Yes,6.5290777158481434,8.0,38.0
2.0,42,No,8.0,9.0,22.0
5.0,59,Yes,8.0,6.0,48.0
7.0,67,Yes,5.0,0.0,59.0
8.0,62,Yes,6.0,2.0,58.0
1.0,87,Yes,9.0,8.0,62.0
6.0,42,No,4.0,6.0,30.0
1.0,81,Yes,6.0,1.0,56.0
2.0,63,Yes,7.0,5.0,40.0
1.0,82,No,5.0,8.0,59.0
5.0,79,Yes,7.0,3.0,65.0
9.0,45,No,5.0,9.0,43.0
6.0,59,Yes,4.0,1.0,48.0
1.0,50,Yes,6.0,2.0,24.0
1.0,71,Yes,9.0,6.0,51.0
2.0,99,Yes,6.0,3.0,81.0
9.0,66,No,5.0,6.0,62.0
3.0,60,Yes,8.0,4.0,43.0
1.0,83,No,7.0,7.0,63.0
5.0,87,No,9.0,7.0,73.0
7.0,89,No,9.0,4.0,76.0
6.0,52,Yes,6.0,6.0,43.0
4.997325309261116,61,No,6.0,5.0,34.0
5.0,74,No,5.0,7.0,57.0
5.0,86,No,8.0,8.0,72.0
6.0,61,Yes,7.0,4.0,47.0
3.0,67,Yes,8.0,6.0,52.0
5.0,60,No,9.0,0.0,49.0
7.0,85,No,8.0,7.0,77.0
5.0,57,Yes,5.0,2.0,41.0
5.0,70,No,8.0,0.0,56.0
5.0,99,No,7.0,5.0,89.0
3.0,85,No,9.0,7.0,65.0
1.0,76,Yes,4.0,2.0,49.0
5.0,60,No,9.0,0.0,48.0
4.997325309261116,53,No,4.0,2.0,47.0
1.0,64,Yes,7.0,4.0,37.0
3.0,66,No,9.0,7.0,48.0
4.0,79,Yes,9.0,8.0,61.0
4.997325309261116,99,Yes,9.0,8.0,77.0
1.0,99,Yes,9.0,3.0,75.0
8.0,62,No,5.0,7.0,57.0
2.0,70,No,6.0,4.0,45.0
8.0,86,No,9.0,2.0,82.0
7.0,99,No,5.0,4.0,90.0
2.0,68,No,7.0,1.0,42.0
4.997325309261116,86,No,9.0,5.0,74.0
6.0,69,No,8.0,0.0,60.0
3.0,90,No,9.0,5.0,73.0
4.997325309261116,65,Yes,9.0,4.0,40.0
1.0,59,No,4.0,8.0,32.0
6.0,77,No,8.0,6.0,67.0
4.997325309261116,58,Yes,9.0,5.0,46.0
9.0,66,No,9.0,6.0,65.0
1.0,64,Yes,9.0,9.0,42.0
7.0,79,No,5.0,4.0,69.0
5.0,77,No,7.0,0.0,62.0
5.0,91,Yes,4.0,8.0,75.0
2.0,62,Yes,9.0,4.0,40.0
3.0,68,No,7.0,3.0,43.0
7.0,54,Yes,4.0,5.0,42.0
6.0,98,No,4.0,4.0,84.0
2.0,42,No,4.0,0.0,15.0
6.0,49,No,9.0,1.0,39.0
4.997325309261116,54,No,5.0,3.0,26.0
2.0,95,No,9.0,7.0,73.0
2.0,55,No,9.0,4.0,34.0
3.0,56,Yes,7.0,6.0,34.0
2.0,58,Yes,6.0,1.0,37.0
4.0,50,Yes,6.0,7.0,34.0
9.0,87,No,6.0,4.0,85.0
6.0,44,Yes,7.0,3.0,31.0
1.0,44,No,8.0,8.0,18.0
8.0,97,Yes,7.0,5.0,92.0
